Year,State,CoC Number,CoC Name,Measures,Count
1/1/2007,AL,AL-505,Gadsden/Northeast Alabama CoC,Homeless Individuals,103
1/1/2007,AL,AL-505,Gadsden/Northeast Alabama CoC,Homeless People in Families,16
1/1/2007,AL,AL-505,Gadsden/Northeast Alabama CoC,Sheltered Homeless,104
1/1/2007,AL,AL-505,Gadsden/Northeast Alabama CoC,Sheltered Homeless Individuals,90
1/1/2007,AL,AL-505,Gadsden/Northeast Alabama CoC,Sheltered Homeless People in Families,14
1/1/2007,AL,AL-505,Gadsden/Northeast Alabama CoC,Total Homeless,119
1/1/2007,AL,AL-505,Gadsden/Northeast Alabama CoC,Unsheltered Homeless,15
1/1/2007,AL,AL-505,Gadsden/Northeast Alabama CoC,Unsheltered Homeless Individuals,13
1/1/2007,AL,AL-505,Gadsden/Northeast Alabama CoC,Unsheltered Homeless People in Families,2
1/1/2007,AL,AL-506,Tuscaloosa City & County CoC,Homeless Individuals,294
1/1/2007,AL,AL-506,Tuscaloosa City & County CoC,Homeless People in Families,51
1/1/2007,AL,AL-506,Tuscaloosa City & County CoC,Sheltered Homeless,332
1/1/2007,AL,AL-506,Tuscaloosa City & County CoC,Sheltered Homeless Individuals,285
1/1/2007,AL,AL-506,Tuscaloosa City & County CoC,Sheltered Homeless People in Families,47
1/1/2007,AL,AL-506,Tuscaloosa City & County CoC,Total Homeless,345
1/1/2007,AL,AL-506,Tuscaloosa City & County CoC,Unsheltered Homeless,13
1/1/2007,AL,AL-506,Tuscaloosa City & County CoC,Unsheltered Homeless Individuals,9
1/1/2007,AL,AL-506,Tuscaloosa City & County CoC,Unsheltered Homeless People in Families,4
1/1/2007,AL,AL-507,Alabama Balance of State CoC,Homeless Individuals,463
1/1/2007,AL,AL-507,Alabama Balance of State CoC,Homeless People in Families,221
1/1/2007,AL,AL-507,Alabama Balance of State CoC,Sheltered Homeless,492
1/1/2007,AL,AL-507,Alabama Balance of State CoC,Sheltered Homeless Individuals,305
1/1/2007,AL,AL-507,Alabama Balance of State CoC,Sheltered Homeless People in Families,187
1/1/2007,AL,AL-507,Alabama Balance of State CoC,Total Homeless,684
1/1/2007,AL,AL-507,Alabama Balance of State CoC,Unsheltered Homeless,192
1/1/2007,AL,AL-507,Alabama Balance of State CoC,Unsheltered Homeless Individuals,158
1/1/2007,AL,AL-507,Alabama Balance of State CoC,Unsheltered Homeless People in Families,34
1/1/2007,AR,AR-500,Little Rock/Central Arkansas CoC,Homeless Individuals,"1,632"
1/1/2007,AR,AR-500,Little Rock/Central Arkansas CoC,Homeless People in Families,190
1/1/2007,AR,AR-500,Little Rock/Central Arkansas CoC,Sheltered Homeless,"1,187"
1/1/2007,AR,AR-500,Little Rock/Central Arkansas CoC,Sheltered Homeless Individuals,"1,009"
1/1/2007,AR,AR-500,Little Rock/Central Arkansas CoC,Sheltered Homeless People in Families,178
1/1/2007,AR,AR-500,Little Rock/Central Arkansas CoC,Total Homeless,"1,822"
1/1/2007,AR,AR-500,Little Rock/Central Arkansas CoC,Unsheltered Homeless,635
1/1/2007,AR,AR-500,Little Rock/Central Arkansas CoC,Unsheltered Homeless Individuals,623
1/1/2007,AR,AR-500,Little Rock/Central Arkansas CoC,Unsheltered Homeless People in Families,12
1/1/2007,AR,AR-501,Fayetteville/Northwest Arkansas CoC,Homeless Individuals,157
1/1/2007,AR,AR-501,Fayetteville/Northwest Arkansas CoC,Homeless People in Families,122
1/1/2007,AR,AR-501,Fayetteville/Northwest Arkansas CoC,Sheltered Homeless,244
1/1/2007,AR,AR-501,Fayetteville/Northwest Arkansas CoC,Sheltered Homeless Individuals,133
1/1/2007,AR,AR-501,Fayetteville/Northwest Arkansas CoC,Sheltered Homeless People in Families,111
1/1/2007,AR,AR-501,Fayetteville/Northwest Arkansas CoC,Total Homeless,279
1/1/2007,AR,AR-501,Fayetteville/Northwest Arkansas CoC,Unsheltered Homeless,35
1/1/2007,AR,AR-501,Fayetteville/Northwest Arkansas CoC,Unsheltered Homeless Individuals,24
1/1/2007,AR,AR-501,Fayetteville/Northwest Arkansas CoC,Unsheltered Homeless People in Families,11
1/1/2007,AR,AR-502,Conway/Arkansas River Valley,Homeless Individuals,87
1/1/2007,AR,AR-502,Conway/Arkansas River Valley,Homeless People in Families,76
1/1/2007,AR,AR-502,Conway/Arkansas River Valley,Sheltered Homeless,59
1/1/2007,AR,AR-502,Conway/Arkansas River Valley,Sheltered Homeless Individuals,19
1/1/2007,AR,AR-502,Conway/Arkansas River Valley,Sheltered Homeless People in Families,40
1/1/2007,AR,AR-502,Conway/Arkansas River Valley,Total Homeless,163
1/1/2007,AR,AR-502,Conway/Arkansas River Valley,Unsheltered Homeless,104
1/1/2007,AR,AR-502,Conway/Arkansas River Valley,Unsheltered Homeless Individuals,68
1/1/2007,AR,AR-502,Conway/Arkansas River Valley,Unsheltered Homeless People in Families,36
1/1/2007,AR,AR-504,Delta Hills CoC,Homeless Individuals,626
1/1/2007,AR,AR-504,Delta Hills CoC,Homeless People in Families,275
1/1/2007,AR,AR-504,Delta Hills CoC,Sheltered Homeless,391
1/1/2007,AR,AR-504,Delta Hills CoC,Sheltered Homeless Individuals,347
1/1/2007,AR,AR-504,Delta Hills CoC,Sheltered Homeless People in Families,44
1/1/2007,AR,AR-504,Delta Hills CoC,Total Homeless,901
1/1/2007,AR,AR-504,Delta Hills CoC,Unsheltered Homeless,510
1/1/2007,AR,AR-504,Delta Hills CoC,Unsheltered Homeless Individuals,279
1/1/2007,AR,AR-504,Delta Hills CoC,Unsheltered Homeless People in Families,231
1/1/2007,AR,AR-505,Southeast Arkansas,Homeless Individuals,35
1/1/2007,AR,AR-505,Southeast Arkansas,Homeless People in Families,95
1/1/2007,AR,AR-505,Southeast Arkansas,Sheltered Homeless,120
1/1/2007,AR,AR-505,Southeast Arkansas,Sheltered Homeless Individuals,32
1/1/2007,AR,AR-505,Southeast Arkansas,Sheltered Homeless People in Families,88
1/1/2007,AR,AR-505,Southeast Arkansas,Total Homeless,130
1/1/2007,AR,AR-505,Southeast Arkansas,Unsheltered Homeless,10
1/1/2007,AR,AR-505,Southeast Arkansas,Unsheltered Homeless Individuals,3
1/1/2007,AR,AR-505,Southeast Arkansas,Unsheltered Homeless People in Families,7
1/1/2007,AR,AR-506,"Johnson, Pope, Yell Counties",Homeless Individuals,21
1/1/2007,AR,AR-506,"Johnson, Pope, Yell Counties",Homeless People in Families,0
1/1/2007,AR,AR-506,"Johnson, Pope, Yell Counties",Sheltered Homeless,18
1/1/2007,AR,AR-506,"Johnson, Pope, Yell Counties",Sheltered Homeless Individuals,18
1/1/2007,AR,AR-506,"Johnson, Pope, Yell Counties",Sheltered Homeless People in Families,0
1/1/2007,AR,AR-506,"Johnson, Pope, Yell Counties",Total Homeless,21
1/1/2007,AR,AR-506,"Johnson, Pope, Yell Counties",Unsheltered Homeless,3
1/1/2007,AR,AR-506,"Johnson, Pope, Yell Counties",Unsheltered Homeless Individuals,3
1/1/2007,AR,AR-506,"Johnson, Pope, Yell Counties",Unsheltered Homeless People in Families,0
1/1/2007,AR,AR-508,Old Fort Homeless Coalition,Homeless Individuals,157
1/1/2007,AR,AR-508,Old Fort Homeless Coalition,Homeless People in Families,37
1/1/2007,AR,AR-508,Old Fort Homeless Coalition,Sheltered Homeless,147
1/1/2007,AR,AR-508,Old Fort Homeless Coalition,Sheltered Homeless Individuals,111
1/1/2007,AR,AR-508,Old Fort Homeless Coalition,Sheltered Homeless People in Families,36
1/1/2007,AR,AR-508,Old Fort Homeless Coalition,Total Homeless,194
1/1/2007,AR,AR-508,Old Fort Homeless Coalition,Unsheltered Homeless,47
1/1/2007,AR,AR-508,Old Fort Homeless Coalition,Unsheltered Homeless Individuals,46
1/1/2007,AR,AR-508,Old Fort Homeless Coalition,Unsheltered Homeless People in Families,1
1/1/2007,AR,AR-509,Hot Springs/South West Arkansas CoC,Homeless Individuals,4
1/1/2007,AR,AR-509,Hot Springs/South West Arkansas CoC,Homeless People in Families,0
1/1/2007,AR,AR-509,Hot Springs/South West Arkansas CoC,Sheltered Homeless,2
1/1/2007,AR,AR-509,Hot Springs/South West Arkansas CoC,Sheltered Homeless Individuals,2
1/1/2007,AR,AR-509,Hot Springs/South West Arkansas CoC,Sheltered Homeless People in Families,0
1/1/2007,AR,AR-509,Hot Springs/South West Arkansas CoC,Total Homeless,4
1/1/2007,AR,AR-509,Hot Springs/South West Arkansas CoC,Unsheltered Homeless,2
1/1/2007,AR,AR-509,Hot Springs/South West Arkansas CoC,Unsheltered Homeless Individuals,2
1/1/2007,AR,AR-509,Hot Springs/South West Arkansas CoC,Unsheltered Homeless People in Families,0
1/1/2007,AR,AR-510,"Hempstead, Sevier, Howard, Little River  Counties CoC",Homeless Individuals,268
1/1/2007,AR,AR-510,"Hempstead, Sevier, Howard, Little River  Counties CoC",Homeless People in Families,54
1/1/2007,AR,AR-510,"Hempstead, Sevier, Howard, Little River  Counties CoC",Sheltered Homeless,117
1/1/2007,AR,AR-510,"Hempstead, Sevier, Howard, Little River  Counties CoC",Sheltered Homeless Individuals,95
1/1/2007,AR,AR-510,"Hempstead, Sevier, Howard, Little River  Counties CoC",Sheltered Homeless People in Families,22
1/1/2007,AR,AR-510,"Hempstead, Sevier, Howard, Little River  Counties CoC",Total Homeless,322
1/1/2007,AR,AR-510,"Hempstead, Sevier, Howard, Little River  Counties CoC",Unsheltered Homeless,205
1/1/2007,AR,AR-510,"Hempstead, Sevier, Howard, Little River  Counties CoC",Unsheltered Homeless Individuals,173
1/1/2007,AR,AR-510,"Hempstead, Sevier, Howard, Little River  Counties CoC",Unsheltered Homeless People in Families,32
1/1/2007,AZ,AZ-500,Arizona Balance of State CoC,Homeless Individuals,"2,235"
1/1/2007,AZ,AZ-500,Arizona Balance of State CoC,Homeless People in Families,762
1/1/2007,AZ,AZ-500,Arizona Balance of State CoC,Sheltered Homeless,"1,013"
1/1/2007,AZ,AZ-500,Arizona Balance of State CoC,Sheltered Homeless Individuals,532
1/1/2007,AZ,AZ-500,Arizona Balance of State CoC,Sheltered Homeless People in Families,481
1/1/2007,AZ,AZ-500,Arizona Balance of State CoC,Total Homeless,"2,997"
1/1/2007,AZ,AZ-500,Arizona Balance of State CoC,Unsheltered Homeless,"1,984"
1/1/2007,AZ,AZ-500,Arizona Balance of State CoC,Unsheltered Homeless Individuals,"1,703"
1/1/2007,AZ,AZ-500,Arizona Balance of State CoC,Unsheltered Homeless People in Families,281
1/1/2007,AZ,AZ-501,Tucson/Pima County CoC,Homeless Individuals,"2,258"
1/1/2007,AZ,AZ-501,Tucson/Pima County CoC,Homeless People in Families,943
1/1/2007,AZ,AZ-501,Tucson/Pima County CoC,Sheltered Homeless,"2,010"
1/1/2007,AZ,AZ-501,Tucson/Pima County CoC,Sheltered Homeless Individuals,"1,159"
1/1/2007,AZ,AZ-501,Tucson/Pima County CoC,Sheltered Homeless People in Families,851
1/1/2007,AZ,AZ-501,Tucson/Pima County CoC,Total Homeless,"3,201"
1/1/2007,AZ,AZ-501,Tucson/Pima County CoC,Unsheltered Homeless,"1,191"
1/1/2007,AZ,AZ-501,Tucson/Pima County CoC,Unsheltered Homeless Individuals,"1,099"
1/1/2007,AZ,AZ-501,Tucson/Pima County CoC,Unsheltered Homeless People in Families,92
1/1/2007,AZ,AZ-502,Phoenix/Mesa/Maricopa County Regional CoC,Homeless Individuals,"5,527"
1/1/2007,AZ,AZ-502,Phoenix/Mesa/Maricopa County Regional CoC,Homeless People in Families,"2,921"
1/1/2007,AZ,AZ-502,Phoenix/Mesa/Maricopa County Regional CoC,Sheltered Homeless,"5,595"
1/1/2007,AZ,AZ-502,Phoenix/Mesa/Maricopa County Regional CoC,Sheltered Homeless Individuals,"2,732"
1/1/2007,AZ,AZ-502,Phoenix/Mesa/Maricopa County Regional CoC,Sheltered Homeless People in Families,"2,863"
1/1/2007,AZ,AZ-502,Phoenix/Mesa/Maricopa County Regional CoC,Total Homeless,"8,448"
1/1/2007,AZ,AZ-502,Phoenix/Mesa/Maricopa County Regional CoC,Unsheltered Homeless,"2,853"
1/1/2007,AZ,AZ-502,Phoenix/Mesa/Maricopa County Regional CoC,Unsheltered Homeless Individuals,"2,795"
1/1/2007,AZ,AZ-502,Phoenix/Mesa/Maricopa County Regional CoC,Unsheltered Homeless People in Families,58
1/1/2007,CA,CA-500,San Jose/Santa Clara City & County CoC,Homeless Individuals,"5,945"
1/1/2007,CA,CA-500,San Jose/Santa Clara City & County CoC,Homeless People in Families,"1,257"
1/1/2007,CA,CA-500,San Jose/Santa Clara City & County CoC,Sheltered Homeless,"2,101"
1/1/2007,CA,CA-500,San Jose/Santa Clara City & County CoC,Sheltered Homeless Individuals,"1,105"
1/1/2007,CA,CA-500,San Jose/Santa Clara City & County CoC,Sheltered Homeless People in Families,996
1/1/2007,CA,CA-500,San Jose/Santa Clara City & County CoC,Total Homeless,"7,202"
1/1/2007,CA,CA-500,San Jose/Santa Clara City & County CoC,Unsheltered Homeless,"5,101"
1/1/2007,CA,CA-500,San Jose/Santa Clara City & County CoC,Unsheltered Homeless Individuals,"4,840"
1/1/2007,CA,CA-500,San Jose/Santa Clara City & County CoC,Unsheltered Homeless People in Families,261
1/1/2007,CA,CA-501,San Francisco CoC,Homeless Individuals,"5,171"
1/1/2007,CA,CA-501,San Francisco CoC,Homeless People in Families,532
1/1/2007,CA,CA-501,San Francisco CoC,Sheltered Homeless,"2,912"
1/1/2007,CA,CA-501,San Francisco CoC,Sheltered Homeless Individuals,"2,400"
1/1/2007,CA,CA-501,San Francisco CoC,Sheltered Homeless People in Families,512
1/1/2007,CA,CA-501,San Francisco CoC,Total Homeless,"5,703"
1/1/2007,CA,CA-501,San Francisco CoC,Unsheltered Homeless,"2,791"
1/1/2007,CA,CA-501,San Francisco CoC,Unsheltered Homeless Individuals,"2,771"
1/1/2007,CA,CA-501,San Francisco CoC,Unsheltered Homeless People in Families,20
1/1/2007,CA,CA-502,Oakland/Alameda County CoC,Homeless Individuals,"3,026"
1/1/2007,CA,CA-502,Oakland/Alameda County CoC,Homeless People in Families,"1,812"
1/1/2007,CA,CA-502,Oakland/Alameda County CoC,Sheltered Homeless,"2,342"
1/1/2007,CA,CA-502,Oakland/Alameda County CoC,Sheltered Homeless Individuals,"1,257"
1/1/2007,CA,CA-502,Oakland/Alameda County CoC,Sheltered Homeless People in Families,"1,085"
1/1/2007,CA,CA-502,Oakland/Alameda County CoC,Total Homeless,"4,838"
1/1/2007,CA,CA-502,Oakland/Alameda County CoC,Unsheltered Homeless,"2,496"
1/1/2007,CA,CA-502,Oakland/Alameda County CoC,Unsheltered Homeless Individuals,"1,769"
1/1/2007,CA,CA-502,Oakland/Alameda County CoC,Unsheltered Homeless People in Families,727
1/1/2007,CA,CA-503,Sacramento City & County CoC,Homeless Individuals,"1,965"
1/1/2007,CA,CA-503,Sacramento City & County CoC,Homeless People in Families,487
1/1/2007,CA,CA-503,Sacramento City & County CoC,Sheltered Homeless,"1,447"
1/1/2007,CA,CA-503,Sacramento City & County CoC,Sheltered Homeless Individuals,982
1/1/2007,CA,CA-503,Sacramento City & County CoC,Sheltered Homeless People in Families,465
1/1/2007,CA,CA-503,Sacramento City & County CoC,Total Homeless,"2,452"
1/1/2007,CA,CA-503,Sacramento City & County CoC,Unsheltered Homeless,"1,005"
1/1/2007,CA,CA-503,Sacramento City & County CoC,Unsheltered Homeless Individuals,983
1/1/2007,CA,CA-503,Sacramento City & County CoC,Unsheltered Homeless People in Families,22
1/1/2007,CA,CA-504,Santa Rosa/Petaluma/Sonoma County CoC,Homeless Individuals,888
1/1/2007,CA,CA-504,Santa Rosa/Petaluma/Sonoma County CoC,Homeless People in Families,426
1/1/2007,CA,CA-504,Santa Rosa/Petaluma/Sonoma County CoC,Sheltered Homeless,782
1/1/2007,CA,CA-504,Santa Rosa/Petaluma/Sonoma County CoC,Sheltered Homeless Individuals,407
1/1/2007,CA,CA-504,Santa Rosa/Petaluma/Sonoma County CoC,Sheltered Homeless People in Families,375
1/1/2007,CA,CA-504,Santa Rosa/Petaluma/Sonoma County CoC,Total Homeless,"1,314"
1/1/2007,CA,CA-504,Santa Rosa/Petaluma/Sonoma County CoC,Unsheltered Homeless,532
1/1/2007,CA,CA-504,Santa Rosa/Petaluma/Sonoma County CoC,Unsheltered Homeless Individuals,481
1/1/2007,CA,CA-504,Santa Rosa/Petaluma/Sonoma County CoC,Unsheltered Homeless People in Families,51
1/1/2007,CA,CA-505,Richmond/Contra Costa County CoC,Homeless Individuals,"2,892"
1/1/2007,CA,CA-505,Richmond/Contra Costa County CoC,Homeless People in Families,"1,170"
1/1/2007,CA,CA-505,Richmond/Contra Costa County CoC,Sheltered Homeless,903
1/1/2007,CA,CA-505,Richmond/Contra Costa County CoC,Sheltered Homeless Individuals,332
1/1/2007,CA,CA-505,Richmond/Contra Costa County CoC,Sheltered Homeless People in Families,571
1/1/2007,CA,CA-505,Richmond/Contra Costa County CoC,Total Homeless,"4,062"
1/1/2007,CA,CA-505,Richmond/Contra Costa County CoC,Unsheltered Homeless,"3,159"
1/1/2007,CA,CA-505,Richmond/Contra Costa County CoC,Unsheltered Homeless Individuals,"2,560"
1/1/2007,CA,CA-505,Richmond/Contra Costa County CoC,Unsheltered Homeless People in Families,599
1/1/2007,CA,CA-506,"Salinas/Monterey, San Benito Counties CoC",Homeless Individuals,"1,149"
1/1/2007,CA,CA-506,"Salinas/Monterey, San Benito Counties CoC",Homeless People in Families,253
1/1/2007,CA,CA-506,"Salinas/Monterey, San Benito Counties CoC",Sheltered Homeless,509
1/1/2007,CA,CA-506,"Salinas/Monterey, San Benito Counties CoC",Sheltered Homeless Individuals,262
1/1/2007,CA,CA-506,"Salinas/Monterey, San Benito Counties CoC",Sheltered Homeless People in Families,247
1/1/2007,CA,CA-506,"Salinas/Monterey, San Benito Counties CoC",Total Homeless,"1,402"
1/1/2007,CA,CA-506,"Salinas/Monterey, San Benito Counties CoC",Unsheltered Homeless,893
1/1/2007,CA,CA-506,"Salinas/Monterey, San Benito Counties CoC",Unsheltered Homeless Individuals,887
1/1/2007,CA,CA-506,"Salinas/Monterey, San Benito Counties CoC",Unsheltered Homeless People in Families,6
1/1/2007,CA,CA-507,Marin County CoC,Homeless Individuals,846
1/1/2007,CA,CA-507,Marin County CoC,Homeless People in Families,156
1/1/2007,CA,CA-507,Marin County CoC,Sheltered Homeless,602
1/1/2007,CA,CA-507,Marin County CoC,Sheltered Homeless Individuals,465
1/1/2007,CA,CA-507,Marin County CoC,Sheltered Homeless People in Families,137
1/1/2007,CA,CA-507,Marin County CoC,Total Homeless,"1,002"
1/1/2007,CA,CA-507,Marin County CoC,Unsheltered Homeless,400
1/1/2007,CA,CA-507,Marin County CoC,Unsheltered Homeless Individuals,381
1/1/2007,CA,CA-507,Marin County CoC,Unsheltered Homeless People in Families,19
1/1/2007,CA,CA-508,Watsonville/Santa Cruz City & County CoC,Homeless Individuals,"2,408"
1/1/2007,CA,CA-508,Watsonville/Santa Cruz City & County CoC,Homeless People in Families,381
1/1/2007,CA,CA-508,Watsonville/Santa Cruz City & County CoC,Sheltered Homeless,486
1/1/2007,CA,CA-508,Watsonville/Santa Cruz City & County CoC,Sheltered Homeless Individuals,261
1/1/2007,CA,CA-508,Watsonville/Santa Cruz City & County CoC,Sheltered Homeless People in Families,225
1/1/2007,CA,CA-508,Watsonville/Santa Cruz City & County CoC,Total Homeless,"2,789"
1/1/2007,CA,CA-508,Watsonville/Santa Cruz City & County CoC,Unsheltered Homeless,"2,303"
1/1/2007,CA,CA-508,Watsonville/Santa Cruz City & County CoC,Unsheltered Homeless Individuals,"2,147"
1/1/2007,CA,CA-508,Watsonville/Santa Cruz City & County CoC,Unsheltered Homeless People in Families,156
1/1/2007,CA,CA-509,Mendocino County CoC,Homeless Individuals,"1,192"
1/1/2007,CA,CA-509,Mendocino County CoC,Homeless People in Families,230
1/1/2007,CA,CA-509,Mendocino County CoC,Sheltered Homeless,284
1/1/2007,CA,CA-509,Mendocino County CoC,Sheltered Homeless Individuals,164
1/1/2007,CA,CA-509,Mendocino County CoC,Sheltered Homeless People in Families,120
1/1/2007,CA,CA-509,Mendocino County CoC,Total Homeless,"1,422"
1/1/2007,CA,CA-509,Mendocino County CoC,Unsheltered Homeless,"1,138"
1/1/2007,CA,CA-509,Mendocino County CoC,Unsheltered Homeless Individuals,"1,028"
1/1/2007,CA,CA-509,Mendocino County CoC,Unsheltered Homeless People in Families,110
1/1/2007,CA,CA-510,Turlock/Modesto/Stanislaus County CoC,Homeless Individuals,"1,001"
1/1/2007,CA,CA-510,Turlock/Modesto/Stanislaus County CoC,Homeless People in Families,592
1/1/2007,CA,CA-510,Turlock/Modesto/Stanislaus County CoC,Sheltered Homeless,634
1/1/2007,CA,CA-510,Turlock/Modesto/Stanislaus County CoC,Sheltered Homeless Individuals,282
1/1/2007,CA,CA-510,Turlock/Modesto/Stanislaus County CoC,Sheltered Homeless People in Families,352
1/1/2007,CA,CA-510,Turlock/Modesto/Stanislaus County CoC,Total Homeless,"1,593"
1/1/2007,CA,CA-510,Turlock/Modesto/Stanislaus County CoC,Unsheltered Homeless,959
1/1/2007,CA,CA-510,Turlock/Modesto/Stanislaus County CoC,Unsheltered Homeless Individuals,719
1/1/2007,CA,CA-510,Turlock/Modesto/Stanislaus County CoC,Unsheltered Homeless People in Families,240
1/1/2007,CA,CA-511,Stockton/San Joaquin County CoC,Homeless Individuals,"1,657"
1/1/2007,CA,CA-511,Stockton/San Joaquin County CoC,Homeless People in Families,822
1/1/2007,CA,CA-511,Stockton/San Joaquin County CoC,Sheltered Homeless,"2,176"
1/1/2007,CA,CA-511,Stockton/San Joaquin County CoC,Sheltered Homeless Individuals,"1,417"
1/1/2007,CA,CA-511,Stockton/San Joaquin County CoC,Sheltered Homeless People in Families,759
1/1/2007,CA,CA-511,Stockton/San Joaquin County CoC,Total Homeless,"2,479"
1/1/2007,CA,CA-511,Stockton/San Joaquin County CoC,Unsheltered Homeless,303
1/1/2007,CA,CA-511,Stockton/San Joaquin County CoC,Unsheltered Homeless Individuals,240
